,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
27,2023-03-27,誠実で優しく親しみやすい,4.75,期間が短かったのにも関わらず真面目・誠実に対応してくださり見積もり対応が大変良かったです。更に移動させている予定だった見積もりに入っていなかった2階にあるソファも運んでいただき満足です。また引越しがあればお願いしたいと思います。,大阪,大阪,いつでも,4,5,5,5,4,2,0,7
40,2023-03-27,事務作業がとても明るい方ばかりでした,4.75,【見積もり時の対応】とてもおしゃべりが上手な方で、慇懃無礼にならない、とても親しみやすいのに丁寧な方で、かなりの好印象でした。【料金】地域限定というか、小規模な範囲というか、そういう引っ越し屋さんならでわの安さでした。私は同一市内でしたので、十分すぎるくらいお安かったです。【作業内容】無口な若者でしたが、時折見せる笑顔に癒されながら、素早い荷づくりや搬入に、主人と一緒に感嘆していました。【全体的な評価】アークさんにして良かった、本当にこれですね。安かろう悪かろうなんじゃないかと思っていましたが、丁寧な中にも無駄を省く効率主義なところもあり、今の時代にとっても合っていると思いました。【良かった点】第一印象のカギになる電話での対応が、とにかく明るく元気な女の方でして、その子の愛嬌の良さに惹かれてアークさんの見積もりをもらおうと思ったのがきっかけです。見積もりにいらしてくださった男性の方も、ぐいぐい前向きに進めてくださって、「ふっかけられたらどうしよう・・・」とおどおどしていた私をどんどん導いてくださいました。明るい、本当に大事なことですよね。【気になった点】作業員さんが働きすぎて大丈夫だったかあぁと心配でした。まぁ忙しくててんやわんやの時期ですしね。,愛知,愛知,いつでも,5,5,4,5,7,14,15,7
41,2023-03-26,スピーディーに対応してくれる印象,4.0,良かった点・質問にいやな顔せず回答してくれた・てきぱきとスムーズに運搬してくれた・話すときに目が合い、明るくて良かった悪かった点・特段ないが、雨だったため荷物が濡れてしまった。濡れたぶんは拭いてもらえるとなお良かった,長野,東京,いつでも,4,4,4,4,1,4,6,3
30,2023-03-26,スピーディーに対応して頂き良かった。,4.0,ダンボールのプレゼントがあり、良かった。訪問見積もりを行ってもらいそれからよ値上げ等なく安心して引越しができた。繁忙期と時期により値段が思っていたよりも高かったが、仕方ないと思った。引越しと同時に家電等カタログがあり、勧められたがこちらの意見も聞いてくれたため酷い営業はなかった。引越しを考えている人は3月は1番値段が高く、日取りもなかなか無いので早めに引越しの予定を組むと良いと思います。特に家電が大きい場合。,宮城,宮城,いつでも,4,4,4,4,3,2,0,9
28,2023-03-25,電話、訪問見積もり、作業全て丁寧にしてくれました,5.0,丁寧に荷物を運んで下さり最後には他に移動させるものが無いかなどを聞いてくださって本当に助かりました。ダンボールもサービスでつけて下さり想像していた金額よりも高かったのですが担当の方とお話してお値段も頑張ってくださって本当に助かりました！,奈良,奈良,いつでも,5,5,5,5,4,0,0,5
26,2023-03-25,丁寧で段取りがよかった。言葉遣いも良かった。,4.75,良かった点:作業が早い。丁寧。養生もきっちりしてた。悪かった点:家具などの裏を拭かなかった。契約時、営業からそう言われていた。３時からの引っ越しが急に昼前になった。バタバタしてしまい、箱の中身を書く暇が半分の数ほどなかった。理由は一応聞いて了承はした。繁忙期とはいえ、見積金額は予算をかなりオーバーしたが、最終的にかなり値引きをしてもらってよかった。,大阪,大阪,いつでも,5,4,5,5,5,9,10,10
39,2023-03-24,,4.5,3月の繁忙期ということもあって自分が想定していた金額より高かったけれど、まっさきに訪問見積もりに来てくれたこと、時間帯については出来るだけこちらの希望を汲んでくれたことからこちらに決めました。契約の際は14時からの作業予定でしたが、2日前に希望していた朝イチからに変更の打診があったので結果的にラッキーでした。当日の作業も丁寧かつスピーディで良かったです。特に悪いところはありませんでした。,神奈川,神奈川,いつでも,4,5,4,5,3,5,15,10
43,2023-03-24,スピーディに動いて頂いたのと対応が早いと思いました,4.25,良かった点・端数の値切り交渉をして頂けた・対応がかなり早く電話〜見積り、事前準備のダンボール手配などが1日でき、計画通りの予定で引っ越しができた・単身の引っ越しで自身荷造りをしていたが冷蔵庫、洗濯、ダンボール15個ほどを15分くらいで運んでくれ搬入もそれぐらいの時間で行って頂きとても助かった悪かった点・大手ということで信頼をお金で買う意味と3月末でどこも手配が難しいかったが少し高く感じた。・クレジットの対応がなく、現地現金払いとなるため事前準備が必要なのとお釣りが必要であれば先に伝えていないとあまりいい対応をされないと感じた総合的に見て値段を気にしないのであればとてもいい対応だと思いました。,神奈川,東京,いつでも,4,4,4,5,3,6,15,10
33,2023-03-21,気づかいが素晴らしくサービス精神素敵でした,4.5,引っ越しには関係ない電気の取り付けに困っていた際に手伝って下さったり洗濯機の事で相談にのって下さったり気配りが素晴らしく、快適な引っ越しとなりました。ただ物を運ぶだけではなく思いやりにあふれた引っ越しでした。スタッフ同士も不慣れな方を優しくフォローしてたり見ていて気持ちがよく、素敵な空間でした。ありがとうございました。,東京,東京,いつでも,4,4,5,5,7,10,40,9
29,2023-03-19,丁寧で素早い,3.75,良かった予定時間より少し早く来てくれて早く終わった悪かった外して運んでもらったエアコンを翌日地元の電気店に取付けてもらった際に、外すときにオイルが少し漏れておりガス抜けしている可能生があるので業者さんに一度連絡してみてと言われた。一年は保証があるので何かあれば連絡下さい。ということになっている,岐阜,岐阜,いつでも,4,2,4,5,1,4,0,5
