,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
36,2023-08-14,手際良くて良かった,4.75,予算オーバーしたがそもそもの予算が少なかったので、どのくらいオーバーで済むのかオーバー金額の少ない業者を選ぼうと考えていた。今回お願いした業者は5000円ほどの予算オーバーだったが、段ボールを希望個数、家電他大物の持って行ってほしい希望をほぼ聞いてくれたのでそこにお願いしました。フリー便でしたが、２〜３日前には枠の時間もわかり予定が組みやすかったです当日は３名で来て、非常に速やかかつ丁寧な作業でした。また、自分で運ぼうとしていた荷物も一部ですが運んでくれました。経年変化で破損した家具の状況も教えてくれ、運び先ではうまく設置してくれていました。あまりのスピーディーさにこちらの対応が追いつかなかったです。大手だったので結果的には満足のいく引っ越しになったかと思います。これが金額ありきでやっていたらトラブルも予想されただけにまた次回もお願いしてみようかと思いました。,埼玉,埼玉,午前,4,5,5,5,5,7,50,7
51,2023-08-14,丁寧に梱包してくれました,3.5,【見積もり時の対応】他社で見積もりをお願いした時は、他で比較検討をさせてもらえないですぐに契約しようとしていたのですが、アートさんは比較検討させて頂いた上に、手短に見積もり訪問も終わらせてくれました。【料金】会社負担内になるように値引きしてくれました。【作業内容】梱包も丁寧でとても好印象でした。新居でのクーラーの設置もすぐに来て頂いて、快適な荷解きができて良かったです。エコ楽BOXがとても楽で、次引っ越す時もアートさんでお願いしようと思いました。【全体的な評価】だいたい満足な引っ越しでした。【気になった点】引っ越し時の訪問時間が、前日に連絡頂いた時間内ではなく30分くらい遅い時間だったので、実質2時間半待ちぼうけの時間があったので、エアコンが使えない状態で2時間半家から動けない状態は辛かったです。,兵庫,愛媛,午前,3,4,4,3,8,12,60,4
50,2023-08-13,営業の方も作業された方もとても感じが良かったです,4.75,見積1社目の会社がかなり安くしてくださったので、予定してた2社目は見積をお断りしたので実際は相見積していません。でも、このサイトを利用してなかったら2社目の会社(私の地域ではよく見かける)にお願いしてたと思うので結果的にサイトを利用して良かったと思います。,新潟,新潟,午前,4,5,5,5,1,3,15,0
38,2023-08-13,教育と社員の人柄、チームワークが良かった。,4.25,余計な世間話はせず、ポイントを掴んだセールスと、悩みや不安などの質問にきちんと説明し、こちらの希望を聞いて頂き無事引越しが出来感謝しております。熱海台風の予想でしたが、熱海地域の女性社員の働きとチームワークの手早い作業に感謝しております。有難う御座います。,静岡,東京,午前,3,4,5,5,3,2,1,5
45,2023-08-13,丁寧、迅速,4.0,【見積もり時の対応】即決はしないと最初に言ったらアートさんだけがそれに応じてくれた。【料金】予算よりはオーバーしたが、値下げ交渉に応じてくれた。【作業内容】こちらに聞きながら、丁寧に行ってくれた。妊婦であったが体調も気遣って頂き嬉しかった。【全体的な評価】次も利用したいと思う業者だった。【良かった点】3名での作業だったが、作業の方同士もしっかり声を掛け合って無駄がなかった。リーダーの方がしっかり指示をしていた。ダンボールの無料回収してくれる点も選んだ理由。分からないことや不安なことを電話で問い合わせた際も丁寧に対応してくれた。【気になった点】,神奈川,神奈川,午前,4,4,4,4,4,6,30,3
49,2023-08-12,いまいち,3.25,・訪問見積もり時の営業マンと現場の温度差が大きい。営業トークを鵜呑みにしては駄目だと悟った・サービスにあった退去と新居の業者挨拶はしてくれなかった・サービスにあったほこりをふき取ってから家具を移動させるはずが、雑巾が用意されていなかったということでふき取る出なく払うに変更された。お客が雑巾を準備するのに違和感。事前の説明をして欲しい・旧居の乱暴な作業にひいた。例えばガムテープを床に放り出したりしていた。階下の人がいたらどうするのだろうか・見積もり時と作業内容が変更したのに料金が変更されなかった。,愛知,愛知,午前,4,3,2,4,4,0,0,8
39,2023-08-10,真夏の引っ越し,4.5,真夏の引っ越しで立っているだけでも目眩がしそうな環境で一日で搬出搬入をして頂きました。非常に大変だったかと思いますが快く作業をして頂き大変助かりました。あえて指摘をするとなると、荷物をいれる場所やマットの敷き方など作業員様でご判断を頂いたのですが、聞いていただければ入れ方、敷き方など依頼させて頂きたかった箇所がありましたのでもう少しお声がけ頂いた方が良かったかと思いました。あとは、真夏なので飲み物を飲みながら作業して頂いておりましたが、冷えたペットボトルで結露ができているものを家財の上（下駄箱などの上）に直接置かれていましたので輪染みができないか心配になりました。ご持参頂いたタオルなどの上に置いて頂けるとより良いかなと感じた次第です。,大阪,大阪,午前,5,5,5,3,9,7,50,5
37,2023-08-10,特に問題なくスムーズだった,4.0,他社との金額の比較、値引き交渉をした際、スムーズに対応していただきた。そのおかげで予算を大幅に下回る金額で引っ越しをすることができた。また、引っ越しもスムーズかつ丁寧で元気よく対応していただけました。,埼玉,神奈川,午前,4,4,4,4,1,4,20,7
35,2023-08-10,テキパキやっていただけました。,4.5,冷蔵庫を一緒に注文しておいて、当日に設置できると思ってたんですが、結局クレーンになった為、また後日に冷蔵庫設置になってしまったので、少し残念でした。引越し始まる時間が遅かったので終わりも夜になってしまったので、仕方ないかなと思ってます。,埼玉,埼玉,午前,5,5,4,4,7,0,0,4
48,2023-08-10,人員によると思うが作業指示手際は良かった,4.5,早朝に現地見積もり依頼を取った業者に、当日の予定時間になって夕方に時間変更してと言われた。小さい子供もいるなかで朝から対応できるように準備しておいたのに　それはないだろう　とクレームを入れた。大手だからと任せると足元をすくわれることもあるのだなと実感した,千葉,千葉,午前,4,5,4,5,4,5,20,3
40,2023-08-07,丁寧な対応,4.75,一度目に連絡した業者は携帯電話だけでの見積もりだけで契約が終わったみたいで引っ越しの3週間前には段ボールも届きなぜか不安がよぎり違う業者に連絡したらきちんと訪問見積もりしていただき更には最初の業者よりも安かったので助かりました。,愛知,愛知,午前,5,5,5,4,3,4,50,6
33,2023-08-06,親身に話を聞いて下さり、笑顔が素敵でした。,5.0,"35,000円くらいで考えていたところ、洗濯機の設置も含めて、33,000円にして下さいました。他の会社にも見積もりを出してもらいましたが、アート引越センターさんの方が、値段を下げてくださったり、電話対応が丁寧だった為、お願いをしました。実際に、アート引っ越しセンターの方は、すごく丁寧で、優しく、気さくに話をすることができ、安心して見守れました。引っ越し先での、良い過ごし方や掃除のコツなども教えてくださり、実際にアート引っ越しセンターで売っている商品もおすすめしてくださいました。冷蔵庫下に敷くシートを購入しましたが、すごくオシャレで、友人や家族からも絶賛されました。今後も、引っ越しをする際に、お願いをしたいと思いました。また友人でも、引っ越し業者に迷っている方がいましたら、アート引っ越しセンターをすすめたいとおもいます。",栃木,栃木,午前,5,5,5,5,5,4,10,4
52,2023-08-06,３人の若者のはつらつとした働き方がよかった。,3.25,粗大ゴミ3点をごみ置き場まで、運んでくれた。家具の底にあったカビを見付けてくれて、粗大ゴミに出しました。良かったです。リーダーが若い女の子で小気味良かった。もう少し丁寧に荷物を扱って欲しかったです。,神奈川,神奈川,午前,3,4,3,3,2,1,40,0
