,引越し時期,タイトル,評価,口コミ,現在地,引越し先,依頼作業開始時間,電話・メール対応,見積もり対応,作業員,サービス,家具量,家電量,ダンボール,見積もり比較社数
36,2023-06-25,テキパキしている,3.25,見積もりの営業の方のお話の進め方が良くて、決めました。不安になる部分をしっかりカバーしてくださいました！（子どもがいて作業に時間がかかるので契約日にすぐ段ボールを持ってきてくださったり、値段を少しでも安くするためにこうするのはどうですかなど提案していただいたり）当日の作業の方は、私達（客側）には丁寧に対応していただけたのでよかったのです。大型家具の配置にも気を遣っていただきました。残念だったのが、作業員さん同士が仲悪いのか、作業責任者の方が相方さんに終始イライラされていて気まずい雰囲気だったのと、普段服が入っている衣装ケースを段ボールの山の奥深くに置かれたので、引越しの当日の夜は大変困りました。段ボール回収が別料金だったのも少し残念でした。,大阪,愛知,いつでも,4,4,2,3,5,7,20,4
33,2023-06-25,営業さんはいいが、作業する人は少し不安かな,3.5,良かった点3人のうち1人はとても対応が丁寧で、経験が豊富なのかよく気がついて動いてくれていました。ソファーが二階に搬入できなかったときも、何度か試してくださったり、搬入できなかった理由も答えてくださったので納得できました。悪かった点何をどこに搬入するかを間違えて認識していたので、あとから荷物を移動させるのが大変でした。養生のパネルとかがけっこうぼろぼろだったので、そろそろ新しいものを使うようにしたほうが良いかとおもいます。ダイニングを一人で梱包？しようとしてくださっていたのですが、倒れそうになっていてとても心配でした。夫が少し支えていましたが、大きな家具はむりせず2人以上で対応するなどした方がいいかな、と思いました。3人の内1人の方は、人見知りなのか無愛想で…こちらが手伝ってもとくにお礼も言わず、もう少しコミュニケーションがとれた方が良いかと思いました。お昼までには終わるとのことでしたが、13時過ぎていたので…確実に終わる時間を教えてほしいです。,愛知,愛知,いつでも,4,4,3,3,3,3,40,9
35,2023-06-23,荷物が多くて大変だったのに頑張ってくれた,5.0,本当に大変な引っ越しでしたが、テキパキと丁寧にやってもらえて良かったです❗️安くして頂き感謝しかないですね❗️ただ、家具の処分をしていただいたのですが、当初の見積もりと違って、ダメなものもあったり価格が高かったりしたのがちょっと残念でした。,広島,広島,いつでも,5,5,5,5,6,5,20,6
40,2023-06-22,爽やかで親身になって相談を聞いてくれた,5.0,アリさんマークの引越社さんを今回、お願いいたしました。元気よく挨拶し入ってこられ、新卒の子も対応が良かったです。社会人一年目の頃を思い出させてくれる子で、上司を始めスタッフさん皆様に教育が行き渡っていると思いました。値引き交渉の際も、嫌な顔もせず上司へすぐ連絡を取り対応してくれました。スピード対応も良く、引越しを検討されている方は是非お願いされてはいかがでしょうか。,兵庫,兵庫,午後～15時まで,5,5,5,5,5,4,20,9
43,2023-06-21,テキパキとしていて良かったと思う。,4.25,本棚を破損してしまったのは残念ですが、冷蔵庫が階段から入れることができずヘルプを呼んでくださって人力で二階まで運んでくださったのは有り難かったです。全体を通してスタッフさんもスピーディに動いてくださりましたし、説明などもしっかりしてくださったので安心してお任せすることができました。料金も頑張ってくださったので満足のいく引っ越しになりました。本当にありがとうございました。,大阪,大阪,午後～15時まで,3,4,5,5,4,6,40,4
38,2023-06-20,IKEA家財対応心底感謝です,4.25,厚木のありさんマーク引越し社はIKEA家財対応の業者さんを提示してくれてこの金額でした。またトラックは2台で人を多く配置し午前中で市内引越しOUTとIN両方終えてくれました。他社はIKEAお断りで自分で崩して自分で組み上げるタイプで断念。アリさんお抱え業社さんはお一人でいらっしゃり30分でばらし完了、30分で組み上げ完了のスーパーマンでした。うちのIKEA家財は二段ベットとクイーンサイズのダブルベッドでしたので自分たちでやったら半日かけるニで時間潰してました。そう思えばやはりありさんマークに決めて大正解でした。エアコン取り外し取り付け業社もプロを紹介してくれて親身に対応してくれてるので助かりました。総じてありさんマーク最高でした。,神奈川,神奈川,いつでも,4,4,4,5,3,11,50,3
41,2023-06-20,手際良く作業してくれて良かった。,4.0,引越料金は適正料金であった。訪問見積時にマスク貰えたことは少し嬉しかった。早めにダンボールのプレゼントがあったので、箱詰め作業がしっかり出来た。ネットで悪い評判あったため少し心配していたが、実際は、真面目にしっかりやってくれて満足だった。この会社に頼んで良かった。,大阪,大阪,午後～15時まで,4,4,4,4,3,1,50,7
42,2023-06-20,受付から当日の引越までスムーズで良かった,4.0,安かろう悪かろうを避けたかったので、値引き交渉はあえて行いませんでした。料金が中位、急いでいたので見積もりも引越日も早い所に決めました。小規模の引越だからかもしれませんが、訪問見積もりでなく電話で見積もり出来て、引越日も早く出来たので急いでいる方にオススメです。ひとつ、残念だったのは、ダンボールサービスがあるとは聞いていたのですが、ハンガーBOXも当日貸出サービスがあることを聞いていなかった事です。知っていたら利用したかったところです。が、私が聞きそびれた可能性もあるので会社の非か私の非かなんとも言えません。引越当日はテキパキと要領良く作業してくださりスムーズに引越できたので満足です。,京都,神奈川,午後～15時まで,4,4,4,4,1,1,5,5
37,2023-06-20,早かったです,4.0,良かった点は引越しまでの段取りは良かった営業さんが早くて、安くしてくれるのに協力してくれた悪かった点は営業、契約の方と現場で引っ越しをしてくれる方の連携が取れていない事これを運ぶ、運ばないが通じていませんでした。,大阪,大阪,いつでも,4,4,4,4,1,5,15,4
39,2023-06-15,信頼できる対応でした,4.25,訪問見積もりしてくれたスタッフが引越し作業もしてくれたので安心できました。スピードも早くて、希望通りの引越しができました。ダンボールの回収のサービスがないので、後で困っていますが、それ以外はとても満足です。,福岡,鹿児島,いつでも,4,4,4,5,5,3,30,10
