,date,title,rate,comment
1956,2019-07-04,手際良く、感じの良い対応でした。,3.75,作業員、2人と聞いていたのに、4人くらい、いらしたので、何でかなぁと思ったのですが、金額は変わらなかったので、特に聞かなかったのですがそれとなく、教えて欲しかったなぁと思いました。
1941,2019-07-05,丁寧に対応してくれた。,4.0,良かった点　対応と荷物運びが丁寧でスムーズ。　　　　　　洗濯機等の引き取りサービスも良かった悪かった点　来る時間帯が曖昧。もう少し絞った　　　　　　時間帯を言って欲しい。
1949,2019-07-06,営業の方も作業員の方もとても良い印象だった。,4.5,見積もりの時もとてもいい印象で好感がもてたし、金額も他社よりも安かったのでこちらに決めました。実際の作業もしっかり養生していたし、重い荷物ばかりでも不満も言わず（以前頼んだ他社は言っていた）丁寧でとてもよかったです。不要品の処分もしていただけたし、実家にも立ち寄って荷物を降ろしてもらえたり、とても助かりました。次もまたハートさんでお願いしたいと思います。
1953,2019-07-06,値段相応とゆう感じ,4.0,値段が他社の半分だったので即決したが、値段が安いのはやはり理由があるのだと再認識した。アパートから新居に引っ越す際にアパートに何の養生もせずにいきなり荷物を運び出したので驚いた。また新居のため当然養生はガッチリやるもんだと思っていたがお粗末なプラスチックのパネルを数枚階段周りとかに付けたぐらいであとは無し。今まで引越しを多数してきたが、こんな業者は初めて。また10時から12時に伺うと事前に連絡が来たが、当日は連絡無しに来たので、出発前などに何時頃着きそうとか連絡が欲しかった。値段が値段なのでしょうがないと思うが、次にまた利用したいとは思わない。
1955,2019-07-06,誠実な対応,5.0,電話応対から訪問見積もり、引越し作業、全てにおいて満足です。礼儀正しく笑顔を絶やさず対応してくださり感謝しています。また機会があればお願いすると思います。
1946,2019-07-07,ものすごく早くて驚きました。,3.5,時間にもきっちりと正確で、作業スピードも早くて本当に驚いた。値段も、予算通りでお願いできて、助かりました。見積りを見るとだいぶ値引きしてくれていたので、感謝しています。見積りの担当者の方の対応も丁寧で、その日に段ボールやプチプチ、布団袋を貰えたので、すぐに荷造りに取りかかれたのも良かった。元々ネットの口コミは良い業者でしたが、安いと色々とトラブルも多いと口コミに書いてあったので、見積りの時に、不安な点をお聞きしたら、何かあった際の会社の対応方法も丁寧に説明してくれたので、この業者にしようと思って契約したが、特に何のトラブルも無く、引っ越しは終わりました。引っ越し費用を安く抑えたいと考えておられる方にはオススメの業者だと思います。予算を明確に提示して、交渉して、納得の出来る金額でお願い出来る業者を探すのが良いと思います。私は一社目でここにしましたが、金額も内容も満足です。
1944,2019-07-10,リーダーっぽい人頑張ってくれた,3.5,リーダーっぽい人頑張ってくれた【気になった点】時期や他の家の作業後という影響もあるだろうが汗が気になったプロならタオルを持たせてあげてください匂いは仕方ないとしても通路や家具に汗水残していってはダメだと思います
1898,2019-07-10,テキパキとした対応で印象が良かった,4.75,【良かった点】見積もりより少し荷物が増えたが嫌な顔をせず見積もり金額内で対応してくれた【悪かった点】引越し屋さんが落として壊れた家電がああり対応はしてもらえたが、連絡が全般的に遅かった全体的に対応は良かったです
1923,2019-07-10,普通だと思います。,3.75,1番運んでほしいベッドが入力ミスで、慌てました。書いてある物しか運べませんので見積もり書ありますか？探して見つかったから良かったですが、時間のロスです。気をつけてほしいです。
1945,2019-07-11,営業も作業員の方も対応が非常に良かったです。,4.5,今日はありがとうございました。段ボールが足りないことにも即座に頂き、また冷蔵庫の置き場所もご指摘頂き、色々助かりました。金額も他社さんよりも安く、そして保険付きのところに安心しました。大変お世話になりました。
