,date,rate,comment,result
3851,2024-04-04,5.0,11万キロ走っていたので、高くても5万円くらいかなと思っていたら、予想外に高く査定いただけて感激です！結婚して名字が変わっているうえ、ローン返済後の名義変更手続も済んでいませんでしたが、ネクステージさんの方で必要な手続きを全て指示いただいたので、スムーズに売却できました。ありがとうございました。,1
3877,2024-04-04,4.8,一番最初に訪問していただき、対応が早かったです,0
3849,2024-04-04,2.5,査定額の低い方を呈示されたので、残念だった,0
3848,2024-04-04,4.7,査定額が高額呈示だったことと、担当者の誠実さが伝わったので良かった,1
3847,2024-04-04,4.7,担当された方はとても良かったと思います。全塗装だと最低提示金額よりも下がるとは知らずガッカリしましたが、思ってたよりは高かったのて売却しました。i様この度は乗換にあたりお車をお譲り頂き誠に有難う御座いました。良いお乗換えが出来て良かったです。また是非お呼び頂けると有難いです。次回も宜しくお願い致します。,1
3861,2024-04-04,1.7,査定日の変更、時間もそちらに合わせたのに、予定時間直前に渋滞の為、遅れるとのショートメール。渋滞する様な道でもないし、、、また、査定額も、書類や陸送費など諸々でマイナス10万位になるとの事。最終の詰めた金額は聞いてませんが、売却は他店にしました。,0
3878,2024-04-04,5.0,買い取り査定額では買い取って頂けなかったてすが営業担当の方と色々と話した結果対応も良く納得のいく取引が出来ました。ルピア様このような高い評価のクチコミを頂き、大変うれしく思います。入札金額にて買取できなかった事は大変申し訳ございませんでした。お客様に喜んで頂けることが、何よりも私共の励みになります。今後ともどうぞ宜しくお願い致します！！,1
3873,2024-04-04,5.0,非常に丁寧に査定・説明いただきました。F井さんの電話対応・接客対応・服装なども文句なしでした。たいぞー様これ以上ない高評価を頂き誠にありがとうございます！今後もお客様目線を第一に活動して参ります。今後とも宜しくお願い致します！,1
3880,2024-04-04,5.0,しっかりと車を見て頂き、売却に関する説明もしっかりして頂きました。この度はご売却頂き、誠にありがとう御座います。最後までしっかり対応させて頂きますのでご安心下さいませ。次回もお任せ頂けるよう精一杯頑張りますので、是非ご指名下さいませ。お車の事で弊社で何かお役にたてることがありましたら、お気軽にご相談下さいませ。この度は誠にありがとうございました。,1
3879,2024-04-04,2.0,それほどマイナスになる要素の無い車と私自身も思っていましたが、最初の提示価格と最終提示価格に差があり過ぎます。約50万円ダウン初めから買取る気があったのかなぁ？,0
